,host_country,game_year,event,medal_type,athlete_country
400,japan,2020,judo - women -78 kg,bronze,germany
401,japan,2020,judo - men -81 kg,gold,japan
402,japan,2020,judo - men -81 kg,bronze,austria
403,japan,2020,judo - men -81 kg,silver,mongolia
404,japan,2020,judo - men -81 kg,bronze,belgium
405,japan,2020,judo - men -66 kg,silver,georgia
406,japan,2020,judo - men -66 kg,bronze,south korea
407,japan,2020,judo - men -66 kg,bronze,brazil
408,japan,2020,judo - men -66 kg,gold,japan
409,japan,2020,judo - men -73 kg,bronze,mongolia
410,japan,2020,judo - men -73 kg,silver,georgia
411,japan,2020,judo - men -73 kg,gold,japan
412,japan,2020,judo - men -73 kg,bronze,south korea
413,japan,2020,judo - women -48 kg,gold,kosovo
414,japan,2020,judo - women -48 kg,bronze,ukraine
415,japan,2020,judo - women -48 kg,silver,japan
416,japan,2020,judo - women -48 kg,bronze,mongolia
417,japan,2020,judo - men +100 kg,bronze,roc
418,japan,2020,judo - men +100 kg,bronze,france
419,japan,2020,judo - men +100 kg,gold,czechia
420,japan,2020,judo - men +100 kg,silver,georgia
421,japan,2020,judo - men -90 kg,bronze,hungary
422,japan,2020,judo - men -90 kg,gold,georgia
423,japan,2020,judo - men -90 kg,bronze,uzbekistan
424,japan,2020,judo - men -90 kg,silver,germany
425,japan,2020,judo - men -100 kg,gold,japan
426,japan,2020,judo - men -100 kg,bronze,portugal
427,japan,2020,judo - men -100 kg,silver,south korea
428,japan,2020,judo - men -100 kg,bronze,roc
429,japan,2020,judo - men -60 kg,gold,japan
430,japan,2020,judo - men -60 kg,bronze,kazakhstan
431,japan,2020,judo - men -60 kg,bronze,france
432,japan,2020,judo - men -60 kg,silver,chinese taipei
433,japan,2020,judo - women -63 kg,silver,slovenia
434,japan,2020,judo - women -63 kg,bronze,italy
435,japan,2020,judo - women -63 kg,gold,france
436,japan,2020,judo - women -63 kg,bronze,canada
437,japan,2020,judo - women -52 kg,gold,japan
438,japan,2020,judo - women -52 kg,bronze,great britain
439,japan,2020,judo - women -52 kg,bronze,italy
440,japan,2020,judo - women -52 kg,silver,france
441,japan,2020,skateboarding - women's street,gold,japan
442,japan,2020,skateboarding - women's street,silver,brazil
443,japan,2020,skateboarding - women's street,bronze,japan
444,japan,2020,skateboarding - men's park,silver,brazil
445,japan,2020,skateboarding - men's park,gold,australia
446,japan,2020,skateboarding - men's park,bronze,usa
447,japan,2020,skateboarding - women's park,bronze,great britain
448,japan,2020,skateboarding - women's park,silver,japan
449,japan,2020,skateboarding - women's park,gold,japan
450,japan,2020,skateboarding - men's street,gold,japan
451,japan,2020,skateboarding - men's street,bronze,usa
452,japan,2020,skateboarding - men's street,silver,brazil
453,japan,2020,archery - women's individual,gold,south korea
454,japan,2020,archery - women's individual,silver,roc
455,japan,2020,archery - women's individual,bronze,italy
456,japan,2020,archery - men's individual,bronze,japan
457,japan,2020,archery - men's individual,gold,turkey
458,japan,2020,archery - men's individual,silver,italy
