,medal_type,participant_type,athlete_country,host_country,game_year
648,gold,Athlete,united states of america,japan,2020
649,silver,Athlete,australia,japan,2020
650,bronze,Athlete,italy,japan,2020
651,bronze,Athlete,united states of america,japan,2020
652,gold,Athlete,united states of america,japan,2020
653,silver,Athlete,south africa,japan,2020
654,silver,Athlete,netherlands,japan,2020
655,gold,Athlete,australia,japan,2020
656,bronze,Athlete,finland,japan,2020
657,bronze,Athlete,denmark,japan,2020
658,gold,Athlete,australia,japan,2020
659,silver,Athlete,sweden,japan,2020
660,gold,Athlete,people's republic of china,japan,2020
661,bronze,Athlete,united states of america,japan,2020
662,silver,Athlete,united states of america,japan,2020
663,bronze,Athlete,australia,japan,2020
664,gold,Athlete,australia,japan,2020
